Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes,OutgoingCashLink
"42","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.87","0","0","2020-06-11 GMT+0200","06:00:00",,"Dividend","FIFO",,,
"43","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.87","0","0","2020-09-10 GMT+0200","21:05:00",,"Dividend","FIFO",,,
"44","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.96","0","0","2020-12-10 GMT+0200","16:48:00",,"Dividend","FIFO",,,
"45","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.96","0","0","2021-03-11 GMT+0200","14:39:00",,"Dividend","FIFO",,,
"46","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.96","0","0","2021-06-10 GMT+0200","19:59:00",,"Dividend","FIFO",,,
"47","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","0.96","0","0","2021-09-09 GMT+0200","15:43:00",,"Dividend","FIFO",,,
"48","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.06","0","0","2021-12-09 GMT+0200","17:56:00",,"Dividend","FIFO",,,
"49","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.06","0","0","2022-03-10 GMT+0200","17:32:00",,"Dividend","FIFO",,,
"50","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.06","0","0","2022-06-09 GMT+0200","20:57:00",,"Dividend","FIFO",,,
"51","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.06","0","0","2022-09-08 GMT+0200","06:26:00","0","Dividend","FIFO",,,
"52","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.16","0","0","2022-12-08 GMT+0200","18:06:00","0","Dividend","FIFO",,,
"53","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.16","0","0","2023-03-09 GMT+0200","17:30:00","0","Dividend","FIFO",,,
"54","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.16","0","0","2023-06-08 GMT+0200","15:10:00","0","Dividend","FIFO",,,
"55","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.16","0","0","2023-09-14 GMT+0200","15:56:00","0","Dividend","FIFO",,,
"56","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.28","0","0","2023-12-14 GMT+0200","19:54:00","0","Dividend","FIFO",,,
"57","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.28","0","0","2024-03-14 GMT+0200","16:29:00","0","Dividend","FIFO",,,
"58","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.28","0","0","2024-06-13 GMT+0200","22:25:00","0","Dividend","FIFO",,,
"59","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.28","0","0","2024-10-04 GMT+0200","20:46:00","0","Dividend","FIFO",,,
"60","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.42","0","0","2024-12-12 GMT+0200","23:05:00","0","Dividend","FIFO",,,
"61","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.42","0","0","2025-03-13 GMT+0200","18:23:00","0","Dividend","FIFO",,,
"62","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.42","0","0","2025-06-12 GMT+0200","17:15:00","0","Dividend","FIFO",,,
"63","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1.17","0","0","2025-09-11 GMT+0200","21:40:00",,"Dividend","FIFO",,,
"64","MSFT","Microsoft Corporation","Microsoft","NMS","TFSA","USD","1055","0","0","2025-12-11 GMT+0200","22:30:00",,"Dividend","FIFO",,,

"65","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD",,,,,,,,,,,
"66","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","5","114.39","9.95","2020-03-02 GMT+0200","07:00:00",,"Buy",,,,
"67","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.36","0","0","2020-05-15 GMT+0200","06:00:00",,"Dividend","FIFO",,,
"68","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.36","0","0","2020-08-15 GMT+0200","19:08:00",,"Dividend","FIFO",,,
"69","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.36","0","0","2020-11-16 GMT+0200","16:40:00",,"Dividend","FIFO",,,
"70","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.36","0","0","2021-02-14 GMT+0200","03:58:00",,"Dividend","FIFO",,,
"71","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.7","0","0","2021-05-16 GMT+0200","15:42:00",,"Dividend","FIFO",,,
"72","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.7","0","0","2021-08-16 GMT+0200","20:35:00",,"Dividend","FIFO",,,
